id_picture,id_treatment,date,area_size,growth_description,contamination_area,reproductive_structures,comments
329,96,2025-09-25T00:00:00Z,0.64,0,63.62,0,
330,97,2025-09-11T00:00:00Z,0.802,0,0,0,
331,97,2025-09-18T00:00:00Z,12.678,5,0,0,
332,97,2025-09-25T00:00:00Z,49.377,5,14.242999999999995,0,
333,98,2025-09-11T00:00:00Z,0.657,0,0,0,
334,98,2025-09-18T00:00:00Z,13.462,5,0,0,
335,98,2025-09-25T00:00:00Z,63.62,5,0,0,
336,99,2025-09-11T00:00:00Z,0.811,0,0,0,
337,99,2025-09-18T00:00:00Z,15.08,5,0,0,
338,99,2025-09-25T00:00:00Z,49.666,5,13.954,0,
339,100,2025-09-11T00:00:00Z,0.743,0,0,0,
340,100,2025-09-18T00:00:00Z,0.743,0,63.62,0,
341,100,2025-09-25T00:00:00Z,0.743,0,63.62,0,
342,101,2025-09-11T00:00:00Z,0.708,0,0,0,
343,101,2025-09-18T00:00:00Z,0.708,0,0,0,
344,101,2025-09-25T00:00:00Z,0.708,0,0,0,
345,102,2025-09-11T00:00:00Z,0.699,0,0,0,
346,102,2025-09-18T00:00:00Z,0.699,0,0,0,
347,102,2025-09-25T00:00:00Z,0.699,0,0,0,
348,103,2025-09-11T00:00:00Z,0.733,0,0,0,
349,103,2025-09-18T00:00:00Z,4.554,5,0,0,
350,103,2025-09-25T00:00:00Z,37.527,5,0,0,
351,104,2025-09-11T00:00:00Z,0.755,0,0,0,
352,104,2025-09-18T00:00:00Z,6.797,5,0,0,
353,104,2025-09-25T00:00:00Z,51.408,5,0,0,
354,105,2025-09-11T00:00:00Z,0.71,0,0,0,
355,105,2025-09-18T00:00:00Z,2.283,5,0,0,
356,105,2025-09-25T00:00:00Z,25.423,5,0,0,
357,106,2025-09-11T00:00:00Z,0.716,0,0,0,
358,106,2025-09-18T00:00:00Z,0.716,0,0,0,
359,106,2025-09-25T00:00:00Z,0.716,0,0,0,
360,107,2025-09-11T00:00:00Z,0.7,0,0,0,
361,107,2025-09-18T00:00:00Z,0.7,0,6.783,0,
362,107,2025-09-25T00:00:00Z,0.7,0,8.743,0,
363,108,2025-09-11T00:00:00Z,0.664,0,0,0,
364,108,2025-09-18T00:00:00Z,0.664,0,14.884,0,
365,108,2025-09-25T00:00:00Z,0.664,0,43.92,0,
366,109,2025-09-11T00:00:00Z,0.699,0,0,0,
367,109,2025-09-18T00:00:00Z,63.617,4,0,1,
368,109,2025-09-25T00:00:00Z,63.617,3,0,1,
369,110,2025-09-11T00:00:00Z,0.717,0,0,0,
370,110,2025-09-18T00:00:00Z,63.617,3,0,1,
371,110,2025-09-25T00:00:00Z,63.617,3,21.199,1,
372,111,2025-09-11T00:00:00Z,0.681,0,0,0,
373,111,2025-09-18T00:00:00Z,63.617,3,0,1,
374,111,2025-09-25T00:00:00Z,63.617,3,0,1,
375,112,2025-09-11T00:00:00Z,0.656,0,0,0,
376,112,2025-09-18T00:00:00Z,63.617,3,0,1,
377,112,2025-09-25T00:00:00Z,63.617,3,0,1,
378,113,2025-09-11T00:00:00Z,0.682,0,0,0,
379,113,2025-09-18T00:00:00Z,63.617,4,0,0,
380,113,2025-09-25T00:00:00Z,63.617,4,0,0,
381,114,2025-09-11T00:00:00Z,0.749,0,0,0,
382,114,2025-09-18T00:00:00Z,63.617,3,0,0,
383,114,2025-09-25T00:00:00Z,63.617,3,0,0,
384,115,2025-09-11T00:00:00Z,0.793,0,0,0,
385,115,2025-09-18T00:00:00Z,63.617,3,0,0,
386,115,2025-09-25T00:00:00Z,63.617,3,0,0,
387,116,2025-09-11T00:00:00Z,0.488,3,0,0,
388,116,2025-09-18T00:00:00Z,63.617,3,0,1,
389,116,2025-09-25T00:00:00Z,63.617,3,6.435,1,
390,117,2025-09-18T00:00:00Z,0.691,0,0,0,
391,117,2025-09-25T00:00:00Z,0.691,0,0,0,
392,117,2025-10-02T00:00:00Z,0.691,0,0,0,
393,118,2025-09-18T00:00:00Z,0.64,0,0,0,
394,118,2025-09-25T00:00:00Z,0.64,0,0,0,
395,118,2025-10-02T00:00:00Z,0.64,0,21.353,0,
396,119,2025-09-18T00:00:00Z,0.664,0,0,0,
397,119,2025-09-25T00:00:00Z,0.664,0,0,0,
398,119,2025-10-02T00:00:00Z,0.664,0,0,0,
399,120,2025-09-18T00:00:00Z,0.775,0,0,0,
400,120,2025-09-25T00:00:00Z,0.775,0,63.617,0,
401,120,2025-10-02T00:00:00Z,0.775,0,63.617,0,
402,121,2025-09-18T00:00:00Z,0.816,0,0,0,
403,121,2025-09-25T00:00:00Z,0.816,0,63.617,0,
404,121,2025-10-02T00:00:00Z,0.816,0,63.617,0,
405,122,2025-09-18T00:00:00Z,0.791,0,0,0,
406,122,2025-09-25T00:00:00Z,0.791,0,0.31,0,
407,122,2025-10-02T00:00:00Z,0.791,0,9.435,0,
408,123,2025-09-18T00:00:00Z,0.796,0,0,0,
409,123,2025-09-25T00:00:00Z,0.796,0,5.451,0,
410,123,2025-10-02T00:00:00Z,0.796,0,18.316,0,
411,124,2025-09-18T00:00:00Z,0.744,0,0,0,
412,124,2025-09-25T00:00:00Z,0.744,0,0,0,
413,124,2025-10-02T00:00:00Z,0.744,0,0,0,
414,125,2025-09-18T00:00:00Z,0.8,0,0,0,
415,125,2025-09-25T00:00:00Z,0.8,0,2.796,NA,
416,125,2025-10-02T00:00:00Z,0.8,0,4.226,NA,
417,126,2025-09-18T00:00:00Z,0.771,0,0,0,
418,126,2025-09-25T00:00:00Z,4.819,5,0,0,
419,126,2025-10-02T00:00:00Z,13.058,5,0,0,
420,127,2025-09-18T00:00:00Z,0.696,0,0,0,
421,127,2025-09-25T00:00:00Z,0.696,0,9.78,0,
422,127,2025-10-02T00:00:00Z,0.696,0,32.361,0,
423,128,2025-09-18T00:00:00Z,0.744,0,0,0,
424,128,2025-09-25T00:00:00Z,0.744,0,63.617,0,
425,128,2025-10-02T00:00:00Z,0.744,0,63.617,0,
426,129,2025-09-18T00:00:00Z,0.731,0,0,0,
427,129,2025-09-25T00:00:00Z,0.731,0,0,0,
428,129,2025-10-02T00:00:00Z,0.731,0,1.157,0,
429,130,2025-09-18T00:00:00Z,0.723,0,0,0,
430,130,2025-09-25T00:00:00Z,0.723,0,5.297,0,
431,130,2025-10-02T00:00:00Z,0.723,0,5.297,0,
432,131,2025-09-18T00:00:00Z,0.704,0,0,0,
433,131,2025-09-25T00:00:00Z,0.704,0,12.519,0,
434,131,2025-10-02T00:00:00Z,0.74,0,12.519,0,
435,132,2025-09-18T00:00:00Z,0.743,0,0,0,
436,132,2025-09-25T00:00:00Z,0.743,0,0,0,
437,132,2025-10-02T00:00:00Z,0.743,0,0,0,
438,133,2025-09-18T00:00:00Z,0.774,0,0,0,
439,133,2025-09-25T00:00:00Z,0.774,0,6.781,0,
440,133,2025-10-02T00:00:00Z,0.774,0,7.591,0,
441,134,2025-09-18T00:00:00Z,0.773,0,0,0,
442,134,2025-09-25T00:00:00Z,0.773,0,0,0,
443,134,2025-10-02T00:00:00Z,0.773,0,0,0,
444,135,2025-09-18T00:00:00Z,0.763,0,0,0,
445,135,2025-09-25T00:00:00Z,0.763,0,63.617,0,
446,135,2025-10-02T00:00:00Z,0.763,0,63.617,0,
447,136,2025-09-18T00:00:00Z,0.768,0,0,0,
448,136,2025-09-25T00:00:00Z,0.768,0,63.617,0,
449,136,2025-10-02T00:00:00Z,0.768,0,63.617,0,
450,137,2025-09-18T00:00:00Z,0.777,0,0,0,
451,137,2025-09-25T00:00:00Z,0.777,0,0,0,
452,137,2025-10-02T00:00:00Z,0.777,0,0,0,
